start	end	text
258000	259000	对
259000	260000	接地气一点
260000	262000	讲点的话大家都比较那个
263000	265000	技术型的东西就
265000	268000	脑袋逻辑要跟着上才行
269000	271000	听都听不懂的时候
271000	273000	就没有办法去执行了
274000	276000	你那提取了怎么样
276000	279000	就早上发的那个主要就是
279000	282000	电脑上提取用你电脑配置怎么样
282000	284000	我电脑配置不行的
284000	286000	所以我基本用手机
286000	287000	所以用手机吗
287000	290000	跟不上那个内存就是之前的时候做
290000	293000	之前的时候一段时间是用简硬在做
293000	296000	然后我就隔段时间我就要把我视频删掉
296000	300000	就五六年了嘛电脑就那个啥很慢
300000	303000	所以我又适合我自己的方式去做了
306000	310000	其实咱们现在派对人其实蛮快的
310000	313000	他基本每天推个几万的曝光进来
313000	316000	这么好他没给你送一些流量卡呀是吗
317000	319000	有送我都不在意流量卡
319000	321000	流量卡其实作用不大
321000	323000	没啥用啊
323000	324000	作用不大
326000	328000	挺好的数据就是有一阵子
328000	330000	比如说你播到一个小时左右的时候
330000	333000	我看他开始推的就非常明显
335000	337000	但每次你快下的时候
338000	339000	嗯
339000	342000	就更近的更闷了
344000	346000	他就要让你长时间拍着
346000	348000	这个就是他的激励机制的
348000	350000	但没有啥用
350000	353000	第二波那个时候推进来的人就不怎么好
356000	358000	都是很多流量
358000	361000	对他就进了一个流量词嘛
363000	366000	我不会言合受的规则的
366000	369000	创作者计划都超得我一模一样的
369000	372000	是吧那你摸清楚了这是
372000	374000	他在干啥我都很清楚
374000	376000	他就想让我播越播越长
376000	377000	知道吧
377000	381000	三个小时一个阶段
384000	387000	那不如还有一些其他的方式去
389000	390000	比如说
390000	393000	比如说能让你一直在这播下去的动力是什么呢
393000	394000	卡总
394000	396000	播下去的动力嘛
396000	397000	对平台
397000	399000	对平台的这个
399000	401000	什么什么会激励你
401000	403000	让这个平台继续播下去
404000	406000	什么激励我平台做的好
406000	408000	平台的那个
408000	411000	流量的人群是我想要的
413000	415000	但这个应该是符合的
418000	421000	目前来说是没有没有更好的地方
421000	422000	不是他符不符合
422000	424000	是没有更好的地方
424000	426000	知道吧
426000	428000	如果有更好的地方我就白白了
428000	430000	我不会再
432000	433000	受相对简单
433000	437000	他符合轻松的环境
437000	438000	然后你
438000	440000	段吉八昭的装扮
441000	443000	段吉八昭的装扮
444000	445000	他有这个属性嘛
445000	447000	很松弛感
447000	448000	松弛感
448000	449000	对
449000	451000	他有一个调性
452000	454000	我调性到还好吧
454000	457000	我在什么地方我都能适应的
458000	460000	你是适应性比较强
460000	462000	但是是符合你自己现在的状态
462000	465000	你喜欢这种轻松的一个环境嘛
465000	466000	对
466000	467000	对联动了联动了
467000	469000	现在那个微差里面你点开
469000	471000	就可以看到你只要不登录就没关系
471000	473000	登录话你身边的人可能都知道你在玩这个
473000	475000	我是没登录
477000	478000	连动
478000	480000	因为他马上就要爆发了
480000	481000	你知道吧
482000	487000	我们这一波就感情的啥东西都弄出来
489000	491000	都能感觉得到的
491000	493000	如果没有都不知道瘦怎么玩的
493000	495000	回头去买买我书就知道怎么玩的
495000	498000	你看我们都提前准备了三个月了
498000	499000	是的
499000	501000	提前布局了你看
503000	504000	回头就是
505000	509000	联动了就是你真的就是你微信上面的朋友
509000	511000	可以看到你在玩这个瘦
511000	512000	对
512000	514000	我没敢登我给你讲
514000	516000	他们都不知道我玩这个
516000	518000	那你不登录你怎么进来啊
518000	520000	你是用另外一个号吗
520000	521000	没有啊我是那个呀
521000	526000	我是那个app直接登录要不用跟微里面去登
526000	529000	不用从微里面不用从微下场的那个里面进来
529000	530000	接下来
530000	536000	接下来瘦肯定会跟那个微信一样的
536000	539000	微信早期也是灌牛量
539000	541000	这样灌起来了知道吧
541000	544000	当时有五个人在五个团队在做微信的
544000	545000	腾讯赛马
545000	548000	后面张晓雄张晓龙内支起来了
548000	551000	就给他灌牛量
551000	554000	瘦肯定也是一个一个逻辑嘛
556000	558000	大家都可以商卖探讨嘛
558000	560000	对可以聊聊探讨一些
562000	565000	也可以介绍自己也可以分享
565000	567000	也可以聊天
567000	569000	有问题也可以
572000	575000	我昨天听他们在一个派对里面说
575000	578000	他们就转卖那个票了
578000	581000	演唱会的票听说也挺赚钱的
581000	583000	他这个怎么做的你知道吗
584000	586000	演唱会的票吗
586000	588000	都还你吗
588000	590000	对
590000	591000	一直都很赚钱啊
591000	593000	还牛没有断过
593000	595000	对呀我也想去做
596000	598000	我觉得他们在前挺好的
598000	601000	他说你要有钱我说那我没有
601000	604000	为什么还有钱他做啊
604000	606000	对他说他有一个投资大佬
606000	608000	然后他自己也有点钱
610000	611000	没有这个
611000	613000	小的也可以做
614000	616000	看你想做小做大了
617000	619000	演唱会的支援你要是需要的话
619000	621000	我可以推给你
621000	623000	我都没做
623000	625000	演唱会的门票其实还好啦
625000	628000	就是他之前玩的最火的一波做
628000	631000	一夜联盟用演唱会来做
631000	633000	一夜联盟的营销引流
633000	636000	你可能就这一家牛肉店
636000	638000	去谢庭峰要在厦门做演唱会
638000	641000	不留的话那你的你票平常买不到
641000	644000	但是你来我这边冲多少多少火锅
644000	648000	或者在我这边消费多少多少之类的
648000	650000	就可以有那个门票的资格
650000	652000	就每一集都有
652000	655000	之前的黑骨就这么做起来的
655000	657000	这种也是一个很好的方式
657000	660000	那他这个是关系户吧
660000	663000	没有就做一夜联盟嘛他就收票嘛
665000	666000	黄锦鱼都要上太空了
666000	668000	我看这个票也开始卖了
670000	672000	黄锦鱼啊
672000	674000	2026年说不要看朋友圈了
674000	676000	现在看上太空啊
677000	679000	厉不厉害
680000	683000	接下来就每个人的机会
683000	685000	越来越少知道吧
685000	687000	但是你要展示出去
687000	689000	上帝很公平
689000	692000	每个人都有15分钟曝光的机会
692000	694000	那你这15分钟曝光完之后
694000	696000	火了就火了
696000	699000	不火都会让你火几次的机会
700000	703000	我们才到火几次啊
704000	705000	一到三次吧
705000	707000	还蛮开心的是不是
707000	709000	你看那个谁李亚彭不是火了吗
710000	711000	这就是一个小事件
711000	714000	他这一辈子就通过这个事件
716000	718000	全部回来的嘛
718000	720000	对他之前复杂还是复杂
720000	722000	我都不知道他是因为什么事情
722000	725000	我看好多人在朋友圈里面给他捐款
726000	728000	给他那个机会捐款是吧
729000	733000	因为李亚彭他一辈子在做公益类型的事情
734000	736000	支柱贫困学生
736000	739000	然后那个天然就是做存恶力等
739000	742000	他女儿不是存恶力吗
742000	744000	然后他做了那个
744000	746000	今天就了一万多名那个儿童嘛
746000	747000	都不用钱了
747000	750000	别人只要撤费就可以去做手术了
750000	752000	他来机会来垫这个钱
752000	755000	他做了十几二十年这个事情
755000	757000	然后现在那个医院
758000	761000	这个事情你说有时候
761000	763000	有些时候坏事就是好事
763000	765000	就他欠了医院几千万的
765000	767000	两千多万
767000	770000	然后医院就重裁他嘛
770000	772000	那重裁他这个事情
772000	774000	就很多人就曝光了
774000	776000	这个李亚彭就是要救这些儿童的
776000	778000	对吧这么十几年
778000	781000	自己垫资救这些儿童
781000	784000	募资啊垫资啊救这些儿童嘛
784000	786000	所以他欠房租
786000	788000	然后那个另外一方面的话
788000	790000	就房东有一些问题嘛
790000	794000	然后这个事件就一直发酵了
794000	797000	大家就哇这个大善了
797000	799000	江湖狭义
799000	801000	虫哥虫哥可以
801000	803000	对我想好多人给他
803000	805000	欠的都是大笔大笔的
805000	807000	前期都是小笔的
807000	810000	前期是很多人才欠了几百万
810000	812000	后面就变大笔的
812000	814000	就是你几点到一定程度的时候
814000	816000	就会有很多的
816000	818000	真正的厉害的人
818000	820000	来加入你这个时候
820000	822000	这个时候才是结局
822000	823000	他属于第二阶段
823000	824000	应该还有一阶段
824000	825000	还有一个阶段
825000	828000	一开始都是几十块的
828000	830000	几块的对吧
830000	832000	后面的话就是几万的
832000	833000	对吧几十万的
833000	834000	在后面几百万
834000	836000	几千万甚至上亿的
836000	838000	那几十万的那些人都是些什么的
838000	842000	就是品牌方的曝光的企业逼端
842000	844000	那他们本身就是有钱嘛
844000	846000	他本身已经解决社会需求
846000	847000	他比较有钱
847000	850000	所以他就往上去做了嘛
850000	853000	再往下的话就是国家级别的
853000	854000	对吧
854000	857000	然后那些像陈光彪不也
857000	859000	想收购那个
859000	862000	燕南嘛那个医院嘛
862000	864000	就比较上亿级别的
864000	866000	这个时候他就真正的
866000	868000	就有一个比较好的方式
868000	869000	我猜接下来
869000	872000	就李亚彭投资的所有产业都会起飞
873000	874000	就一人得到了
874000	875000	你懂吗
875000	876000	对对对
876000	878000	因为他这个人色好呀
878000	880000	他不是像别人一样就是
880000	882000	只要虚名不干活
882000	883000	他是干了活
883000	884000	他不怎么宣传
884000	888000	现在这件事情给他宣传出来了呀
888000	890000	干了活不求回报
890000	891000	嗯
891000	893000	那这个人色多好呀
893000	894000	都是这样的啊
894000	897000	一定是把这些事情
897000	899000	你做的事情正面的话
899000	901000	很多事情你做起来会比较轻松
901000	903000	即使现在不轻
903000	905000	没有的话以后也会有回报的
905000	906000	知道吧
906000	909000	舍得舍得你先舍后的
909000	910000	后到什么程度
910000	911000	你越后就越大
911000	913000	那个弹簧压的越狠
913000	914000	就越大
914000	916000	只要你做的事情是正向
916000	918000	你不要去做外盟协道的事情
918000	920000	外盟协道的事情是
920000	922000	即使收益投资
922000	923000	投机
923000	925000	当下看起来挣钱
925000	928000	其实长期算下来是不挣钱
929000	931000	不划算也不是不挣钱
931000	932000	不划算
933000	934000	所以我们才一直在做
934000	936000	类似工艺的事情
937000	940000	你们也在做哪方面的工艺呀
940000	944000	我们给解决就业就是工艺呀
944000	946000	还有退伍军人和残疾人
946000	947000	也算工艺了
947000	948000	对呀
948000	950000	还学生
950000	951000	对呀
951000	952000	挺好的
952000	954000	我们也在做工艺
954000	956000	表面上看起来都是亏钱
956000	957000	不挣钱
957000	958000	实话
958000	960000	人家说那你增加的几个亿吧
960000	961000	几十个亿吧
961000	962000	扯淡的
962000	963000	想太多了
963000	965000	有时候还得倒贴
966000	967000	还得倒贴
967000	968000	有些时候
968000	971000	有些时候要拿自己的钱出来倒贴的
971000	972000	没那么好的
972000	974000	哪里有这么好的事情
977000	978000	你都不知道
978000	979000	有些时候就是
979000	982000	你要做这个事情是事情本身
982000	984000	并不是赚钱本身
984000	986000	但是我就做有必要嘛
987000	989000	有必要我们就做
989000	991000	包括我们公司的目标
991000	993000	就是负能一万个超级个体
993000	995000	那你负能负能
995000	996000	你得给东西呀
996000	998000	给东西钱拿来呀
999000	1000000	是不是
1000000	1002000	很多东西是吧
1002000	1003000	对
1003000	1004000	你得工资得发
1004000	1005000	工资你又不能去
1005000	1007000	谁给你钱发工资
1007000	1009000	一开始你得自己出钱
1009000	1010000	你没发工资
1010000	1011000	别人就
1011000	1013000	线下很难聚起来的
1013000	1014000	车费生活费
1014000	1015000	而且大家都all in
1015000	1017000	24小时在干这个
1017000	1019000	在思考这个事情
1019000	1020000	对吧
1020000	1022000	我们学院学小伙伴都那个
1022000	1024000	你们那个长期人
1024000	1026000	那个不是已经搞好了吗
1026000	1028000	已经跑通了吗
1028000	1030000	是搞好啦
1032000	1034000	退伍军人那个也搞好了
1034000	1036000	退伍军人还没搞好
1036000	1038000	退伍军人那个头有点问题
1038000	1040000	那个头太贪心了
1041000	1043000	就是人不对了
1043000	1045000	太贪心没有办法
1045000	1046000	你一开始你怎么可能
1046000	1048000	又给退伍军人钱
1048000	1049000	又给他一大笔钱呢
1049000	1050000	不现实
1051000	1053000	再没惨度的情况下不可能的
1054000	1055000	他要的太多了
1055000	1056000	知道吧
1058000	1060000	那你换人搞呗
1060000	1063000	他比较换人就小好经历嘛
1064000	1066000	他是所有事情的中心
1066000	1068000	他来牵头会比较好做
1068000	1069000	知道吧
1069000	1070000	不然就消耗太多经历
1070000	1071000	我们也会想
1071000	1073000	做什么事情
1073000	1075000	做什么事情合适
1075000	1077000	做什么事情他的头餐比最高
1077000	1079000	也会思考这个事情
1082000	1084000	那长期人这个是好事
1088000	1090000	而且有些时候就是
1090000	1092000	得经常碰
1092000	1094000	执行成的得跟执行成碰
1095000	1097000	老板得跟老板碰
1097000	1100000	就说这个人他是合适去做这个事的人
1100000	1102000	但是心有点贪
1105000	1106000	太着急了
1106000	1108000	太着急拿到结果了
1108000	1109000	你要跟他说清楚
1109000	1111000	这个是可以长期收益的
1111000	1113000	不是说拿快捷的那种
1114000	1116000	他是想长期收益
1116000	1118000	但是他长期收益
1118000	1120000	就把所有退伍军人的利益
1120000	1122000	分之百分之六十你愿不愿意
1122000	1123000	就这个退伍军人
1123000	1125000	原来得给他一万块的
1125000	1127000	但是百分六千块被这个人拿走了
1127000	1129000	剩下四千块到这个地方
1129000	1132000	他们一旦知道这个组织就崩了
1132000	1135000	一个不做事的资源的拿百分之六十
1135000	1137000	那他拿一百个退伍军人
1137000	1139000	百分之六十那是六十万
1139000	1142000	退伍军人有100个退伍军人
1142000	1144000	分四十万一个人分四千块合适吗
1144000	1146000	他一个人拿六十万不合适的
1146000	1147000	我举个例子
1149000	1150000	是不是这是不合适的
1150000	1152000	人家要反的
1152000	1154000	因为关键是他不做事
1154000	1155000	他如果做事还好一点
1155000	1157000	做事有团队该知识之处
1157000	1158000	那没问题
1158000	1160000	他如果你不做事不行
1160000	1164000	一开始的时候没谈好这个认认方式
1165000	1167000	对他就有点开心
1167000	1168000	这也不算没谈好吧
1168000	1169000	其实就是谈了
1169000	1171000	然后觉得这个不妥
1171000	1173000	不妥他又认为不妥
1173000	1175000	因为他在那个位置上你懂吗
1175000	1177000	他就是要拿百分之六十
1178000	1180000	他是不是也还要去打点
1181000	1183000	打点不需要
1183000	1184000	我们不需要他点
1184000	1186000	因为他认识的
1186000	1187000	我们也都认识
1187000	1189000	有渠道都能找到
1189000	1191000	只是要一个身份而已
1193000	1196000	就像我跟他们谈
1196000	1198000	如果他们谈那个
1198000	1200000	我跟他们谈弄那个电竞协会
1200000	1202000	如果他们让我来当会长的话
1202000	1204000	我谈我所有的你们的流水
1204000	1206000	我都要抽走百分之六十
1206000	1207000	谁跟你干的
1207000	1209000	然后抽一个点就差不多了
1210000	1211000	对换位思考的话
1211000	1213000	就绝对别人不会干
1213000	1214000	要我也不会
1215000	1216000	对啊
1216000	1219000	一般都是百分之十到百分之五以类吧
1219000	1220000	对
1221000	1223000	三到十之间
1223000	1225000	但是可以允许的
1227000	1228000	正规的
1228000	1229000	正规的如果是拥金
1229000	1230000	就是中介的话
1230000	1232000	他只能抽百分之五
1233000	1234000	对
1234000	1235000	而且如果他
1235000	1237000	他要拿这么多钱
1237000	1238000	本质上也没有问题
1238000	1239000	他可以投钱
1239000	1242000	他可以去融钱投这个项目
1242000	1243000	让这个项目跑得更快
1243000	1244000	那是没有问题的
1245000	1246000	对吧你就投资回报率
1246000	1247000	你投多少就
1247000	1248000	就多少
1248000	1250000	你投多少做多少事情
1250000	1252000	对吧你主见什么样团队来负担这个机构
1252000	1254000	有什么能力来解决吗
1254000	1255000	不是你靠一张嘴
1255000	1256000	拉一条线
1256000	1259000	就拿走一大半不可能
1260000	1261000	他又不出钱
1261000	1262000	又不出人
1262000	1263000	他就只拿钱
1263000	1264000	对
1264000	1265000	拿大头
1266000	1267000	太可怕了
1268000	1269000	那你让他
1269000	1270000	能不能理解成
1271000	1273000	能不能理解成他这个思路
1273000	1275000	是不符合商业逻辑的
1276000	1277000	对
1277000	1279000	他符合那个官僚主义
1279000	1281000	不符合商业逻辑
1281000	1282000	好
1282000	1283000	官僚主义
1283000	1285000	对
1285000	1287000	这个没有办法
1287000	1288000	对没办法
1291000	1294000	但我们有其他的解决方案
1294000	1295000	不一定靠他了
1296000	1297000	就是会罢利点
1297000	1299000	他就缓着嘛让他难受
1301000	1302000	难受就没了
1302000	1304000	一分钱都赚不到了
1304000	1306000	对一分钱都没有了
1306000	1308000	有些时候就是会碰到这种
1308000	1309000	很正常
1309000	1312000	但现在不一定我跟他合作
1312000	1314000	我的小伙伴可以跟他合作
1314000	1316000	不一定做这个业务
1318000	1320000	本资源先利用起来
1320000	1321000	对
1321000	1323000	找漂亮小姐姐去跟他
1324000	1325000	对
1325000	1327000	我就介绍漂亮小姐姐去跟他谈判
1327000	1328000	做其他业务就行了
1328000	1329000	不一定
1329000	1331000	总有一个适合他的
1331000	1332000	对
1332000	1334000	永远一个人说服他
1334000	1336000	放下贪念 立立成佛
1337000	1339000	有很多的原因
1339000	1340000	他不一定是这次
1340000	1343000	跟我们聊着聊着不匹配而已
1343000	1344000	他跟别人聊
1344000	1346000	他可能有其他项目合作
1346000	1347000	那我们跟其他
1347000	1349000	我们再跟这个项目合作就行了
1349000	1350000	一样的
1352000	1354000	对啊 这个路就不要走死了
1355000	1356000	转几个弯
1356000	1357000	对
1357000	1360000	我们古董他搬新家还送冰箱的
1360000	1362000	送冰箱就让他直入他家里
1362000	1364000	天天想 开冰箱就想到
1366000	1368000	但是你说送你的那个
1369000	1370000	不是 这是另外一个
1370000	1373000	我送你那个讲完之后他们都会了
1373000	1375000	现在就是 对吧
1375000	1377000	你一般重要的人
1377000	1379000	一般地方 或者干嘛的
1379000	1381000	就往你家里面经常用的
1381000	1383000	地方给你摆个东西
1383000	1385000	七千多块冰箱直接拉过去
1387000	1389000	他就 冰箱快
1389000	1390000	一开冰箱就想到你了
1390000	1392000	一开冰箱就想到
1392000	1394000	他老婆一开冰箱就想到
1394000	1395000	多好
1396000	1397000	天天聊我们
1397000	1399000	真是
1399000	1402000	直入你的生活当中
1402000	1405000	对啊 我每个古董我都分享
1406000	1408000	我们的送离文化
1408000	1410000	加深印象你看没
1410000	1411000	学会送
1412000	1414000	阿弥陀佛
1414000	1416000	送离很重要
1416000	1417000	阿弥陀佛
1417000	1419000	把他踢 每天都来阿弥陀佛
1419000	1421000	风脉吧 不用踢
1423000	1425000	有时候进来
1425000	1427000	人多的时候进来就找不到这个人
1427000	1429000	听了也怪那个啥
1429000	1431000	给我们加持一下吧
1431000	1433000	我们刚好点个头像
1433000	1435000	给他头像
1435000	1437000	如果是那个房主
1437000	1439000	把他拉黑 他就进不来了
1439000	1441000	哦 这么死啊
1441000	1443000	不是 还要踢一下就不会进来了吧
1443000	1445000	没有拉黑功能呀 他只有
1445000	1447000	可以的
1447000	1449000	但是你明天的话
1449000	1450000	你明天他还来
1450000	1451000	就是他还能进
1451000	1453000	就是房主如果把他拉黑了
1453000	1454000	没事的
1454000	1456000	他是机器人吗
1456000	1459000	不是 就他就有点那个
1459000	1462000	每天什么房间都去阿弥陀佛一下
1462000	1464000	对 好多的那个房间
1464000	1466000	应该
1467000	1468000	幸福的
1468000	1470000	也不是这样的吧
1471000	1472000	现在有分享的可以上来
1472000	1474000	我们都在闲聊
1474000	1476000	你们有什么赚到过钱的好的
1476000	1478000	我们都想听听你们的故事
1478000	1480000	大家可以按这个格式来分享
1480000	1482000	有一些可以分享
1482000	1484000	然后你有做什么业务
1484000	1485000	也可以过来聊一聊吗
1485000	1487000	还想听听你们的呢
1487000	1489000	对呀 我们都猫子想听嘛
1489000	1491000	那个群主
1491000	1493000	就是3号
1493000	1495000	他是经常分享
1495000	1496000	他是群主的小号嘛
1496000	1497000	他经常分享的
1497000	1499000	你经常来吗
1499000	1500000	我们一起听别人的故事
1500000	1501000	也听他的故事
1501000	1503000	我们都是猫子听故事的
1504000	1505000	对 都聊聊天吧
1505000	1508000	把每天看到一些事情说一说
1512000	1515000	这里面会有很最新的信息插
1515000	1516000	大家都
1517000	1518000	对
1518000	1521000	我们最近都在搞用AI来写出工作
1521000	1523000	都来这里 天天
1524000	1525000	欢迎你啊
1527000	1528000	也可以上麦了
1528000	1529000	你去做什么这样
1529000	1531000	你是做哪一行的
1532000	1534000	我在医院工作
1535000	1536000	挺好的
1538000	1539000	医院的工作
1539000	1540000	现在的话
1541000	1542000	怎么说
1542000	1543000	那是最铁饭完了
1543000	1545000	我感觉医院的工作
1545000	1547000	比JF里面的好多了
1549000	1551000	医院现在也
1551000	1553000	医院也不是所有人都
1554000	1556000	他里面的话能看更高
1557000	1558000	辛苦啊
1558000	1559000	如果你是医生的话
1561000	1562000	昨天下雨
1562000	1564000	我们都在学着用AI
1565000	1566000	对 我们那个
1566000	1569000	三代他是AI方面的专家
1570000	1571000	也没有专家
1571000	1572000	只是用而已
1572000	1573000	自己经常用
1573000	1575000	现在团队所有人都在用
1576000	1578000	用AI做项目那是标配
1578000	1579000	你不用AI
1579000	1581000	现在效率很慢的
1582000	1584000	你就击配不过人家
1584000	1585000	你要懂得用
1585000	1586000	懂得用
1588000	1589000	懂得用跟
1590000	1592000	会用跟懂得用
1592000	1593000	还差很多的
1597000	1598000	都可以上来聊
1598000	1599000	要AI的
1599000	1600000	对 这就是
1600000	1602000	聊AI相关的
1603000	1604000	AI的创业的
1605000	1606000	电竞的
1606000	1607000	我也聊电竞的
1610000	1612000	能做的程度都聊
1616000	1617000	好 这个
1617000	1618000	聊吗 卡组
1619000	1620000	好
1620000	1621000	好 来了
1622000	1623000	你好 琪玛
1624000	1625000	哈啰
1626000	1627000	琪玛要问问题
1627000	1628000	问一下自己
1629000	1631000	我其实没有什么问题
1631000	1633000	我想就是有没有看
1633000	1635000	有没有一直在用AI写
1635000	1636000	写东西的
1636000	1638000	想交流一些东西
1638000	1639000	人家写什么
1639000	1640000	想交流什么
1640000	1641000	你可以
1641000	1642000	可以你做吗
1643000	1645000	我之前我是做电商的
1645000	1646000	然后
1647000	1648000	我开始交电商
1648000	1649000	睡着之后
1649000	1650000	我就退出了
1650000	1651000	因为我感觉
1651000	1652000	没什么意思
1653000	1654000	毕竟同志话问题太严重
1656000	1658000	所以我就直接改到了
1659000	1660000	头条这种自媒体的
1660000	1661000	赛道上面来
1662000	1663000	然后大概现在
1663000	1664000	刚测一个月
1667000	1668000	还是有一些问题
1668000	1669000	所以我想找
1669000	1670000	有没有说
1672000	1673000	正在做的小朋友
1673000	1675000	没有 正在做的朋友
1675000	1677000	去一起探讨一些问题
1679000	1680000	丁香 你是做什么
1680000	1681000	做内容 做据证吗
1681000	1682000	还是
1683000	1684000	打算用AI做什么
1686000	1688000	我现在目前在做的就是
1688000	1689000	AI批量文章
1690000	1691000	批量生产
1691000	1692000	那
1692000	1694000	赚的是你自己的生产的内容吗
1694000	1696000	还是去网上
1696000	1697000	你复制的内容
1697000	1698000	蓝域的内容
1699000	1700000	我自己生产的
1701000	1703000	那你就自己生产
1703000	1704000	怎么类型的
1704000	1705000	主要目的是啥
1705000	1706000	给你自己引流吗
1707000	1708000	引流卖你的货还是
1709000	1710000	没有 那么我们是
1710000	1711000	做平台收益的
1712000	1713000	OK
1713000	1714000	你想做据证
1714000	1715000	用AI做据证
1716000	1718000	去好平台的流量
1719000	1720000	收益的钱
1721000	1723000	他那些创作者计划的钱
1725000	1726000	是这样
1727000	1729000	这个已经很多人在做了
1729000	1732000	没有AI也有很多人在做
1732000	1734000	AI用的工具速度快
1734000	1736000	但你这个核心是解决账号问题
1736000	1737000	不是AI的问题
1739000	1740000	账号不是我的问题
1741000	1743000	我现在是要提质量的问题
1745000	1746000	那你现在用什么
1746000	1747000	用科设
1747000	1749000	用国外的工具GPT生产
1749000	1750000	还是什么
1750000	1752000	别人写的工具在做
1754000	1755000	自己写
1755000	1756000	自己写
1759000	1760000	自己用AI写
1760000	1762000	然后分发全平台去引流
